name,age,weight,height,nationality,team_name,team_url,rider_url
Primož  Roglič,,65.0,1.77,SI,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/primoz-roglic
Giovanni  Aleotti,,67.0,1.8,IT,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/giovanni-aleotti
Nico  Denz,,71.0,1.83,DE,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/nico-denz
Jai  Hindley,,60.0,1.75,AU,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/jai-hindley
Daniel Felipe  Martínez,,63.0,1.72,CO,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/daniel-felipe-martinez
Gianni  Moscon,,71.0,1.8,IT,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/gianni-moscon
Giulio  Pellizzari,,66.0,1.83,IT,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/giulio-pellizzari
Jan  Tratnik,,67.0,1.73,SI,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,rider/jan-tratnik
Kaden  Groves,,76.0,1.76,AU,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/kaden-groves
Quinten  Hermans,,62.0,1.74,BE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/quinten-hermans
Juri  Hollmann,,70.0,1.84,DE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/juri-hollmann
Jimmy  Janssens,,74.0,1.83,BE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/jimmy-janssens
Timo  Kielich,,73.0,1.85,BE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/timo-kielich
Edward  Planckaert,,71.0,1.78,BE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/edward-planckaert
Fabio Van den Bossche,,63.0,1.76,BE,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/fabio-van-den-bossche
Jensen  Plowright,,80.0,1.76,AU,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,rider/jensen-plowright
Alessandro  Verre,,59.0,1.7,IT,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025,rider/alessandro-verre
