profile_icon,stage_name,stage_url,date
p2,Stage 1 | Durrës - Tirana,race/giro-d-italia/2025/stage-1,05-09
p2,Stage 2 (ITT) | Tirana - Tirana,race/giro-d-italia/2025/stage-2,05-10
p2,Stage 3 | Vlorë - Vlorë,race/giro-d-italia/2025/stage-3,05-11
p1,Stage 4 | Alberobello (Pietramadre) - Lecce,race/giro-d-italia/2025/stage-4,05-13
p3,Stage 5 | Ceglie Messapica - Matera,race/giro-d-italia/2025/stage-5,05-14
p2,Stage 6 | Potenza - Napoli,race/giro-d-italia/2025/stage-6,05-15
p5,Stage 7 | Castel di Sangro - Tagliacozzo (Marsia),race/giro-d-italia/2025/stage-7,05-16
p2,Stage 8 | Giulianova - Castelraimondo,race/giro-d-italia/2025/stage-8,05-17
p3,Stage 9 | Gubbio - Siena,race/giro-d-italia/2025/stage-9,05-18
p1,Stage 10 (ITT) | Lucca - Pisa,race/giro-d-italia/2025/stage-10,05-20
p4,Stage 11 | Viareggio - Castelnovo ne' Monti,race/giro-d-italia/2025/stage-11,05-21
p1,Stage 12 | Modena - Viadana (Oglio-Po),race/giro-d-italia/2025/stage-12,05-22
p3,Stage 13 | Rovigo - Vicenza,race/giro-d-italia/2025/stage-13,05-23
p1,Stage 14 | Treviso - Nova Gorica,race/giro-d-italia/2025/stage-14,05-24
p2,Stage 15 | Fiume Veneto - Asiago,race/giro-d-italia/2025/stage-15,05-25
p5,Stage 16 | Piazzola sul Brenta - San Valentino (Brentonico),race/giro-d-italia/2025/stage-16,05-27
p4,Stage 17 | San Michele all’Adige (Fondazione Edmund Mach) - Bormio,race/giro-d-italia/2025/stage-17,05-28
p2,Stage 18 | Morbegno - Cesano Maderno,race/giro-d-italia/2025/stage-18,05-29
p4,Stage 19 | Biella - Champoluc,race/giro-d-italia/2025/stage-19,05-30
p5,Stage 20 | Verrès - Sestrière (Vialattea),race/giro-d-italia/2025/stage-20,05-31
p1,Stage 21 | Roma - Roma,race/giro-d-italia/2025/stage-21,06-01
