rider_name,rider_url,team_name,team_url
ROGLIČ Primož,rider/primoz-roglic,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
ALEOTTI Giovanni,rider/giovanni-aleotti,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
DENZ Nico,rider/nico-denz,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
HINDLEY Jai,rider/jai-hindley,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
MOSCON Gianni,rider/gianni-moscon,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
PELLIZZARI Giulio,rider/giulio-pellizzari,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
TRATNIK Jan,rider/jan-tratnik,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025
GROVES Kaden,rider/kaden-groves,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
HERMANS Quinten,rider/quinten-hermans,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
HOLLMANN Juri,rider/juri-hollmann,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
JANSSENS Jimmy,rider/jimmy-janssens,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
KIELICH Timo,rider/timo-kielich,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
PLANCKAERT Edward,rider/edward-planckaert,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
VAN DEN BOSSCHE Fabio,rider/fabio-van-den-bossche,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
PLOWRIGHT Jensen,rider/jensen-plowright,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025
VERRE Alessandro,rider/alessandro-verre,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
EPIS Giosuè,rider/giosue-epis,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
GUGLIELMI Simon,rider/simon-guglielmi,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
HUYS Laurens,rider/laurens-huys,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
MOZZATO Luca,rider/luca-mozzato,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
RIES Michel,rider/michel-ries,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
SVESTAD-BÅRDSENG Embret,rider/embret-svestad-bardseng,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
TJØTTA Martin,rider/martin-tjotta,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025
TIBERI Antonio,rider/antonio-tiberi,Bahrain - Victorious (WT),team/bahrain-victorious-2025
BILBAO Pello,rider/pello-bilbao,Bahrain - Victorious (WT),team/bahrain-victorious-2025
CARUSO Damiano,rider/damiano-caruso,Bahrain - Victorious (WT),team/bahrain-victorious-2025
EULÁLIO Afonso,rider/afonso-eulalio,Bahrain - Victorious (WT),team/bahrain-victorious-2025
GOVEKAR Matevž,rider/matevz-govekar,Bahrain - Victorious (WT),team/bahrain-victorious-2025
MIHOLJEVIĆ Fran,rider/fran-miholjevic,Bahrain - Victorious (WT),team/bahrain-victorious-2025
PASQUALON Andrea,rider/andrea-pasqualon,Bahrain - Victorious (WT),team/bahrain-victorious-2025
ZAMBANINI Edoardo,rider/edoardo-zambanini,Bahrain - Victorious (WT),team/bahrain-victorious-2025
FRETIN Milan,rider/milan-fretin,Cofidis (WT),team/cofidis-2025
DEBEAUMARCHÉ Nicolas,rider/nicolas-debeaumarche,Cofidis (WT),team/cofidis-2025
LASTRA Jonathan,rider/jonathan-lastra,Cofidis (WT),team/cofidis-2025
MAAS Jan,rider/jan-maas,Cofidis (WT),team/cofidis-2025
MONIQUET Sylvain,rider/sylvain-moniquet,Cofidis (WT),team/cofidis-2025
OLDANI Stefano,rider/stefano-oldani,Cofidis (WT),team/cofidis-2025
PEREZ Anthony,rider/anthony-perez,Cofidis (WT),team/cofidis-2025
SAMITIER Sergio,rider/sergio-samitier,Cofidis (WT),team/cofidis-2025
BENNETT Sam,rider/sam-bennett,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
BOUCHARD Geoffrey,rider/geoffrey-bouchard,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
DE BONDT Dries,rider/dries-de-bondt,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
DEWULF Stan,rider/stan-dewulf,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
GODON Dorian,rider/dorian-godon,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
GUDMESTAD Tord,rider/tord-gudmestad,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
PRODHOMME Nicolas,rider/nicolas-prodhomme,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
VENDRAME Andrea,rider/andrea-vendrame,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025
CARAPAZ Richard,rider/richard-carapaz,EF Education - EasyPost (WT),team/ef-education-easypost-2025
ASGREEN Kasper,rider/kasper-asgreen,EF Education - EasyPost (WT),team/ef-education-easypost-2025
CEPEDA Jefferson Alexander,rider/jefferson-alexander-cepeda,EF Education - EasyPost (WT),team/ef-education-easypost-2025
DOULL Owain,rider/owain-doull,EF Education - EasyPost (WT),team/ef-education-easypost-2025
HONORÉ Mikkel Frølich,rider/mikkel-honore,EF Education - EasyPost (WT),team/ef-education-easypost-2025
RAFFERTY Darren,rider/darren-rafferty,EF Education - EasyPost (WT),team/ef-education-easypost-2025
SHAW James,rider/james-shaw,EF Education - EasyPost (WT),team/ef-education-easypost-2025
STEINHAUSER Georg,rider/georg-steinhauser,EF Education - EasyPost (WT),team/ef-education-easypost-2025
GAUDU David,rider/david-gaudu,Groupama - FDJ (WT),team/groupama-fdj-2025
BYSTRØM Sven Erik,rider/sven-erik-bystrom,Groupama - FDJ (WT),team/groupama-fdj-2025
DAVY Clément,rider/clement-davy,Groupama - FDJ (WT),team/groupama-fdj-2025
GENIETS Kevin,rider/kevin-geniets,Groupama - FDJ (WT),team/groupama-fdj-2025
GERMANI Lorenzo,rider/lorenzo-germani,Groupama - FDJ (WT),team/groupama-fdj-2025
PACHER Quentin,rider/quentin-pacher,Groupama - FDJ (WT),team/groupama-fdj-2025
PALENI Enzo,rider/enzo-paleni,Groupama - FDJ (WT),team/groupama-fdj-2025
ROCHAS Rémy,rider/remy-rochas,Groupama - FDJ (WT),team/groupama-fdj-2025
BERNAL Egan,rider/egan-bernal,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
ARENSMAN Thymen,rider/thymen-arensman,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
CASTROVIEJO Jonathan,rider/jonathan-castroviejo,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
HAMILTON Lucas,rider/lucas-hamilton,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
HEIDUK Kim,rider/kim-heiduk,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
RIVERA Brandon Smith,rider/brandon-smith-rivera-vargas,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
TARLING Joshua,rider/joshua-tarling,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
TURNER Ben,rider/ben-turner,INEOS Grenadiers (WT),team/ineos-grenadiers-2025
MEINTJES Louis,rider/louis-meintjes,Intermarché - Wanty (WT),team/intermarche-wanty-2025
BUSATTO Francesco,rider/francesco-busatto,Intermarché - Wanty (WT),team/intermarche-wanty-2025
COLLEONI Kevin,rider/kevin-colleoni,Intermarché - Wanty (WT),team/intermarche-wanty-2025
PETILLI Simone,rider/simone-petilli,Intermarché - Wanty (WT),team/intermarche-wanty-2025
SMITH Dion,rider/dion-smith,Intermarché - Wanty (WT),team/intermarche-wanty-2025
THIJSSEN Gerben,rider/gerben-thijssen,Intermarché - Wanty (WT),team/intermarche-wanty-2025
VAN DER HOORN Taco,rider/taco-van-der-hoorn,Intermarché - Wanty (WT),team/intermarche-wanty-2025
VAN HOECKE Gijs,rider/gijs-van-hoecke,Intermarché - Wanty (WT),team/intermarche-wanty-2025
GEE Derek,rider/derek-gee,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
CLARKE Simon,rider/simon-clarke,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
FRIGO Marco,rider/marco-frigo,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
FUGLSANG Jakob,rider/jakob-fuglsang,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
HIRT Jan,rider/jan-hirt,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
HOULE Hugo,rider/hugo-houle,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
SCHULTZ Nick,rider/nick-schultz,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
STRONG Corbin,rider/corbin-strong,Israel - Premier Tech (PRT),team/israel-premier-tech-2025
CICCONE Giulio,rider/giulio-ciccone,Lidl - Trek (WT),team/lidl-trek-2025
HOOLE Daan,rider/daan-hoole,Lidl - Trek (WT),team/lidl-trek-2025
KONRAD Patrick,rider/patrick-konrad,Lidl - Trek (WT),team/lidl-trek-2025
KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,Lidl - Trek (WT),team/lidl-trek-2025
MOSCA Jacopo,rider/jacopo-mosca,Lidl - Trek (WT),team/lidl-trek-2025
PEDERSEN Mads,rider/mads-pedersen,Lidl - Trek (WT),team/lidl-trek-2025
VACEK Mathias,rider/mathias-vacek,Lidl - Trek (WT),team/lidl-trek-2025
VERONA Carlos,rider/carlos-verona,Lidl - Trek (WT),team/lidl-trek-2025
QUINTANA Nairo,rider/nairo-quintana,Movistar Team (WT),team/movistar-team-2025
AULAR Orluis,rider/orluis-aular,Movistar Team (WT),team/movistar-team-2025
BARRENETXEA Jon,rider/jon-barrenetxea-golzarri,Movistar Team (WT),team/movistar-team-2025
CEPEDA Jefferson Alveiro,rider/jefferson-cepeda-hernandez,Movistar Team (WT),team/movistar-team-2025
FORMOLO Davide,rider/davide-formolo,Movistar Team (WT),team/movistar-team-2025
MILESI Lorenzo,rider/lorenzo-milesi,Movistar Team (WT),team/movistar-team-2025
RUBIO Einer,rider/einer-rubio,Movistar Team (WT),team/movistar-team-2025
TORRES Albert,rider/albert-torres,Movistar Team (WT),team/movistar-team-2025
PIDCOCK Thomas,rider/thomas-pidcock,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
AZPARREN Xabier Mikel,rider/xabier-mikel-azparren-irurzun,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
DONOVAN Mark,rider/mark-donovan,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
HOWSON Damien,rider/damien-howson,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
LIEPIŅŠ Emīls,rider/emils-liepins,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
MOSCHETTI Matteo,rider/matteo-moschetti,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
VADER Milan,rider/milan-vader,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
ZUKOWSKY Nickolas,rider/nickolas-zukowsky,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025
LANDA Mikel,rider/mikel-landa,Soudal Quick-Step (WT),team/soudal-quick-step-2025
CATTANEO Mattia,rider/mattia-cattaneo,Soudal Quick-Step (WT),team/soudal-quick-step-2025
ČERNÝ Josef,rider/josef-cerny,Soudal Quick-Step (WT),team/soudal-quick-step-2025
GAROFOLI Gianmarco,rider/gianmarco-garofoli,Soudal Quick-Step (WT),team/soudal-quick-step-2025
HAYTER Ethan,rider/ethan-hayter,Soudal Quick-Step (WT),team/soudal-quick-step-2025
KNOX James,rider/james-knox,Soudal Quick-Step (WT),team/soudal-quick-step-2025
LAMPERTI Luke,rider/luke-lamperti,Soudal Quick-Step (WT),team/soudal-quick-step-2025
MAGNIER Paul,rider/paul-magnier,Soudal Quick-Step (WT),team/soudal-quick-step-2025
HARPER Chris,rider/chris-harper,Team Jayco AlUla (WT),team/team-jayco-alula-2025
BOUWMAN Koen,rider/koen-bouwman,Team Jayco AlUla (WT),team/team-jayco-alula-2025
DE PRETTO Davide,rider/davide-de-pretto,Team Jayco AlUla (WT),team/team-jayco-alula-2025
DOUBLE Paul,rider/paul-double,Team Jayco AlUla (WT),team/team-jayco-alula-2025
ENGELHARDT Felix,rider/felix-engelhardt,Team Jayco AlUla (WT),team/team-jayco-alula-2025
HEPBURN Michael,rider/michael-hepburn,Team Jayco AlUla (WT),team/team-jayco-alula-2025
PLAPP Luke,rider/luke-plapp,Team Jayco AlUla (WT),team/team-jayco-alula-2025
ZANA Filippo,rider/filippo-zana,Team Jayco AlUla (WT),team/team-jayco-alula-2025
BARDET Romain,rider/romain-bardet,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
EDMONDSON Alex,rider/alexander-edmondson,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
HAMILTON Chris,rider/chris-hamilton,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
LEEMREIZE Gijs,rider/gijs-leemreize,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
MÄRKL Niklas,rider/niklas-markl,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
POOLE Max,rider/max-poole,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
VAN UDEN Casper,rider/casper-van-uden,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
WELTEN Bram,rider/bram-welten,Team Picnic PostNL (WT),team/team-picnic-postnl-2025
PIGANZOLI Davide,rider/davide-piganzoli,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
BAIS Davide,rider/davide-bais,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
BAIS Mattia,rider/mattia-bais,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
LONARDI Giovanni,rider/giovanni-lonardi,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
MAESTRI Mirco,rider/mirco-maestri,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
MUÑOZ Francisco,rider/francisco-munoz-llana,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
PIETROBON Andrea,rider/andrea-pietrobon,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
TONELLI Alessandro,rider/alessandro-tonelli,Team Polti VisitMalta (PRT),team/team-polti-visitmalta-2025
VAN AERT Wout,rider/wout-van-aert,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
AFFINI Edoardo,rider/edoardo-affini,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
KELDERMAN Wilco,rider/wilco-kelderman,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
KOOIJ Olav,rider/olav-kooij,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
KRUIJSWIJK Steven,rider/steven-kruijswijk,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
LEMMEN Bart,rider/bart-lemmen,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
VAN BAARLE Dylan,rider/dylan-van-baarle,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
YATES Simon,rider/simon-yates,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025
STORER Michael,rider/michael-storer,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
BRENNER Marco,rider/marco-brenner,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
KRIEGER Alexander,rider/alexander-krieger,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
PLUIMERS Rick,rider/rick-pluimers,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
STORK Florian,rider/florian-stork,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
VOISARD Yannis,rider/yannis-voisard,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
WARBASSE Larry,rider/lawrence-warbasse,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
ZIJLAARD Maikel,rider/maikel-zijlaard,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025
AYUSO Juan,rider/juan-ayuso-pesquera,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
ARRIETA Igor,rider/igor-arrieta-lizarraga,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
BARONCINI Filippo,rider/filippo-baroncini,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
DEL TORO Isaac,rider/isaac-del-toro,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
MAJKA Rafał,rider/rafal-majka,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
MCNULTY Brandon,rider/brandon-mcnulty,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
VINE Jay,rider/jay-vine,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
YATES Adam,rider/adam-yates,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025
FIORELLI Filippo,rider/filippo-fiorelli,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
COVILI Luca,rider/luca-covili,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
MAGLI Filippo,rider/filippo-magli2,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
MARCELLUSI Martin,rider/martin-marcellusi,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
MARTINELLI Alessio,rider/alessio-martinelli,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
PINARELLO Alessandro,rider/alessandro-pinarello,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
TAROZZI Manuele,rider/manuele-tarozzi,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
ZANONCELLO Enrico,rider/enrico-zanoncello,VF Group - Bardiani CSF - Faizanè (PRT),team/vf-group-bardiani-csf-faizane-2025
ULISSI Diego,rider/diego-ulissi,XDS Astana Team (WT),team/xds-astana-team-2025
CONCI Nicola,rider/nicola-conci,XDS Astana Team (WT),team/xds-astana-team-2025
FORTUNATO Lorenzo,rider/lorenzo-fortunato,XDS Astana Team (WT),team/xds-astana-team-2025
KANTER Max,rider/max-kanter,XDS Astana Team (WT),team/xds-astana-team-2025
KUZMIN Anton,rider/anton-kuzmin,XDS Astana Team (WT),team/xds-astana-team-2025
MASNADA Fausto,rider/fausto-masnada,XDS Astana Team (WT),team/xds-astana-team-2025
POELS Wout,rider/wout-poels,XDS Astana Team (WT),team/xds-astana-team-2025
SCARONI Christian,rider/christian-scaroni,XDS Astana Team (WT),team/xds-astana-team-2025
