rider_name,rider_url,rider_number,team_name,team_url,rank,status,age,nationality,time,bonus,pcs_points,uci_points
PEDERSEN Mads,rider/mads-pedersen,116,Lidl - Trek,team/lidl-trek-2025,1,DF,29,DK,3:50:24,0:00:10,80,180.0
VAN AERT Wout,rider/wout-van-aert,181,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,2,DF,30,BE,3:50:24,0:00:06,50,130.0
DEL TORO Isaac,rider/isaac-del-toro,204,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,3,DF,21,MX,3:50:26,0:00:06,35,95.0
ROCHAS Rémy,rider/remy-rochas,78,Groupama - FDJ,team/groupama-fdj-2025,4,DF,29,FR,3:50:29,0:00:00,25,80.0
GODON Dorian,rider/dorian-godon,55,Decathlon AG2R La Mondiale Team,team/decathlon-ag2r-la-mondiale-2025,5,DF,28,FR,3:50:29,0:00:00,18,60.0
ROGLIČ Primož,rider/primoz-roglic,1,Red Bull - BORA - hansgrohe,team/red-bull-bora-hansgrohe-2025,6,DF,35,SI,3:50:29,0:00:00,15,45.0
TIBERI Antonio,rider/antonio-tiberi,31,Bahrain - Victorious,team/bahrain-victorious-2025,7,DF,23,IT,3:50:29,0:00:00,12,40.0
GEE Derek,rider/derek-gee,101,Israel - Premier Tech,team/israel-premier-tech-2025,8,DF,27,CA,3:50:29,0:00:00,10,35.0
AULAR Orluis,rider/orluis-aular,122,Movistar Team,team/movistar-team-2025,9,DF,28,VE,3:50:29,0:00:00,8,30.0
BERNAL Egan,rider/egan-bernal,81,INEOS Grenadiers,team/ineos-grenadiers-2025,10,DF,28,CO,3:50:29,0:00:00,6,25.0
CARUSO Damiano,rider/damiano-caruso,33,Bahrain - Victorious,team/bahrain-victorious-2025,11,DF,37,IT,3:50:29,0:00:00,5,20.0
CONCI Nicola,rider/nicola-conci,222,XDS Astana Team,team/xds-astana-team-2025,12,DF,28,IT,3:50:29,0:00:00,4,15.0
OLDANI Stefano,rider/stefano-oldani,46,Cofidis,team/cofidis-2025,13,DF,27,IT,3:50:29,0:00:00,3,10.0
CICCONE Giulio,rider/giulio-ciccone,111,Lidl - Trek,team/lidl-trek-2025,14,DF,30,IT,3:50:29,0:00:00,2,5.0
AYUSO Juan,rider/juan-ayuso-pesquera,201,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,15,DF,22,ES,3:50:29,0:00:04,1,2.0
YATES Simon,rider/simon-yates,188,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,16,DF,32,GB,3:50:29,0:00:00,0,0.0
CARAPAZ Richard,rider/richard-carapaz,61,EF Education - EasyPost,team/ef-education-easypost-2025,17,DF,31,EC,3:50:29,0:00:00,0,0.0
PIDCOCK Thomas,rider/thomas-pidcock,131,Q36.5 Pro Cycling Team,team/q365-pro-cycing-team-2025,18,DF,25,GB,3:50:29,0:00:00,0,0.0
POOLE Max,rider/max-poole,166,Team Picnic PostNL,team/team-picnic-postnl-2025,19,DF,22,GB,3:50:35,0:00:00,0,0.0
STORER Michael,rider/michael-storer,191,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,20,DF,28,AU,3:50:35,0:00:00,0,0.0
PACHER Quentin,rider/quentin-pacher,76,Groupama - FDJ,team/groupama-fdj-2025,21,DF,33,FR,3:50:35,0:00:00,0,0.0
ULISSI Diego,rider/diego-ulissi,221,XDS Astana Team,team/xds-astana-team-2025,22,DF,35,IT,3:50:35,0:00:00,0,0.0
RUBIO Einer,rider/einer-rubio,127,Movistar Team,team/movistar-team-2025,23,DF,27,CO,3:50:35,0:00:00,0,0.0
SVESTAD-BÅRDSENG Embret,rider/embret-svestad-bardseng,27,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,24,DF,22,NO,3:50:35,0:00:00,0,0.0
BARRENETXEA Jon,rider/jon-barrenetxea-golzarri,123,Movistar Team,team/movistar-team-2025,25,DF,25,ES,3:50:42,0:00:00,0,0.0
PELLIZZARI Giulio,rider/giulio-pellizzari,7,Red Bull - BORA - hansgrohe,team/red-bull-bora-hansgrohe-2025,26,DF,21,IT,3:50:42,0:00:00,0,0.0
YATES Adam,rider/adam-yates,208,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,27,DF,32,GB,3:50:42,0:00:00,0,0.0
PIGANZOLI Davide,rider/davide-piganzoli,171,Team Polti VisitMalta,team/team-polti-visitmalta-2025,28,DF,22,IT,3:50:42,0:00:00,0,0.0
DE PRETTO Davide,rider/davide-de-pretto,153,Team Jayco AlUla,team/team-jayco-alula-2025,29,DF,23,IT,3:50:42,0:00:00,0,0.0
MEINTJES Louis,rider/louis-meintjes,91,Intermarché - Wanty,team/intermarche-wanty-2025,30,DF,33,ZA,3:50:42,0:00:00,0,0.0
MCNULTY Brandon,rider/brandon-mcnulty,206,UAE Team Emirates - XRG,team/uae-team-emirates-xrg-2025,31,DF,27,US,3:50:42,0:00:00,0,0.0
KNOX James,rider/james-knox,146,Soudal Quick-Step,team/soudal-quick-step-2025,32,DF,29,GB,3:50:42,0:00:00,0,0.0
GENIETS Kevin,rider/kevin-geniets,74,Groupama - FDJ,team/groupama-fdj-2025,33,DF,28,LU,3:50:42,0:00:00,0,0.0
ZAMBANINI Edoardo,rider/edoardo-zambanini,38,Bahrain - Victorious,team/bahrain-victorious-2025,34,DF,24,IT,3:50:42,0:00:00,0,0.0
MONIQUET Sylvain,rider/sylvain-moniquet,45,Cofidis,team/cofidis-2025,35,DF,27,BE,3:50:42,0:00:00,0,0.0
HARPER Chris,rider/chris-harper,151,Team Jayco AlUla,team/team-jayco-alula-2025,36,DF,30,AU,3:50:42,0:00:00,0,0.0
ARENSMAN Thymen,rider/thymen-arensman,82,INEOS Grenadiers,team/ineos-grenadiers-2025,37,DF,25,NL,3:50:42,0:00:00,0,0.0
GROVES Kaden,rider/kaden-groves,11,Alpecin - Deceuninck,team/alpecin-deceuninck-2025,38,DF,26,AU,3:50:51,0:00:-20,0,0.0
PLANCKAERT Edward,rider/edward-planckaert,16,Alpecin - Deceuninck,team/alpecin-deceuninck-2025,39,DF,30,BE,3:50:59,0:00:00,0,0.0
